64,1849.78
73,1842.55
78,1758.15
84,1676.13
87,1756.86
92,1716.3
94,1714.84
97,1747.31
104,1800.87
106,1812.16
112,1806.56
119,1863.79
132,1796.61
137,1811.76
143,1745.2
148,1774.4
152,1730.66
158,1762.35
160,1767.37
171,1785.14
175,1804.87
182,1794.23
185,1761.95
191,1810.46
195,1802.89
201,1916.66
205,1931.36
207,1915.46
209,1941.74
212,1933.1
223,2029.68
226,2026.4
229,2015.31
234,2078.43
238,2078.01
241,2089.06
246,2181.34
249,2214.85
254,2252.39
259,2244.31
263,2215.88
267,2244.71
270,2294.85
274,2235.16
277,2235.73
283,2243.86
285,2250.93
292,2287.86
297,2384.53
299,2395.19
303,2409.88
307,2375.63
312,2339.18
315,2353.12
319,2283.62
321,2301.67
326,2329.9
328,2301.42
331,2327.84
333,2313.6
337,2343.41
339,2324.71
341,2317.64
343,2309.29
346,2303.48
349,2349.47
351,2367.99
353,2375.73
358,2361.54
362,2387.69
367,2420.38
372,2378.87
376,2387.52
380,2525.41
382,2520.23
384,2513.38
386,2512.11
390,2518.15
393,2507.0
395,2495.79
399,2479.08
406,2470.39
412,2557.48
415,2534.17
420,2468.98
426,2524.52
430,2545.38
435,2460.26
440,2490.63
442,2502.59
444,2494.79
450,2400.9
453,2410.81
457,2430.72
459,2465.96
462,2462.69
465,2479.48
468,2530.77
470,2552.5
474,2535.37
477,2604.79
481,2629.4
484,2599.2
492,2440.29
497,2461.15
506,2410.71
512,2362.53
515,2379.28
522,2313.07
526,2238.85
529,2238.25
534,2274.22
537,2311.13
541,2322.32
549,2280.5
555,2328.58
561,2267.88
564,2216.49
566,2208.65
573,2260.53
576,2256.86
582,2159.39
584,2154.93
586,2149.33
589,2119.7
592,2164.27
596,2171.87
598,2169.37
602,2137.6
608,2306.43
610,2322.89
618,2308.65
621,2262.45
627,2322.94
630,2386.53
634,2361.39
639,2262.79
642,2243.41
648,2261.65
652,2304.24
654,2272.46
656,2289.13
660,2254.22
663,2192.17
665,2225.11
669,2178.47
681,2259.66
687,2181.11
690,2234.74
695,2300.37
699,2335.28
705,2297.17
709,2327.49
714,2293.47
717,2330.42
719,2331.87
721,2326.24
726,2379.21
730,2413.12
733,2374.69
739,2407.95
743,2374.44
746,2340.2
749,2366.6
752,2370.55
756,2341.55
759,2326.78
766,2351.02
768,2353.1
770,2358.11
773,2326.64
779,2404.61
784,2393.53
789,2375.24
791,2371.11
795,2357.54
802,2194.7
804,2176.3
806,2187.18
810,2212.6
812,2191.26
814,2179.87
818,2237.74
824,2290.75
826,2299.03
830,2324.16
832,2328.99
835,2332.63
837,2334.6
840,2359.39
844,2322.18
847,2326.49
851,2345.61
859,2273.24
865,2165.34
868,2134.28
873,2108.88
877,2098.88
881,2140.74
883,2111.47
888,2191.97
891,2212.71
893,2200.07
897,2170.22
900,2188.31
908,2134.52
910,2162.23
914,2167.19
919,2206.68
923,2235.68
926,2267.95
928,2269.51
933,2239.37
939,2199.69
947,2087.82
955,2137.7
960,2151.48
962,2192.31
968,2194.88
971,2172.14
973,2174.93
977,2141.68
980,2078.74
985,2128.24
990,2125.22
993,2112.15
995,2115.39
