100.0,100.0,100.0,100.0,325
95.7,95.7,95.7,95.7,5905
93.5,93.5,93.5,93.5,7162
92.9,92.9,92.9,92.9,18300
95.5,95.5,95.5,95.5,14750
94.6,94.6,94.6,94.6,31440
95.8,95.8,95.8,95.8,12396
95.0,95.0,95.0,95.0,26247
85.7,85.7,85.7,85.7,33496
84.1,84.1,84.1,84.1,25264
88.1,88.1,88.1,88.1,31913
85.7,85.7,85.7,85.7,36743
82.5,82.5,82.5,82.5,42664
84.4,84.4,84.4,84.4,48483
81.6,81.6,81.6,81.6,33559
78.5,78.5,78.5,78.5,46771
76.3,76.3,76.3,76.3,26415
74.8,74.8,74.8,74.8,30497
73.1,73.1,73.1,73.1,37740
71.8,71.8,71.8,71.8,36796
70.7,70.7,70.7,70.7,50869
68.5,68.5,68.5,68.5,52892
67.2,67.2,67.2,67.2,92084
67.1,67.1,67.1,67.1,256
70.0,70.0,70.0,70.0,91260
76.3,76.3,76.3,76.3,121743
83.5,83.5,83.5,83.5,52543
91.3,91.3,91.3,91.3,145326
97.9,97.9,97.9,97.9,147129
98.4,98.4,98.4,98.4,85897
88.9,88.9,88.9,88.9,82486
84.7,84.7,84.7,84.7,84286
90.7,90.7,90.7,90.7,76462
99.1,99.1,99.1,99.1,189231
91.7,91.7,91.7,91.7,85
90.9,90.9,90.9,90.9,108716
96.4,96.4,96.4,96.4,70805
95.3,95.3,95.3,95.3,39804
92.0,92.0,92.0,92.0,51353
90.5,90.5,90.5,90.5,40066
93.7,93.7,93.7,93.7,52891
94.2,94.2,94.2,94.2,34658
92.3,92.3,92.3,92.3,55622
92.7,92.7,92.7,92.7,112
92.5,92.5,92.5,92.5,55407
89.1,89.1,89.1,89.1,62355
92.6,92.6,92.6,92.6,51178
90.9,90.9,90.9,90.9,157443
91.3,91.3,91.3,91.3,54385
92.2,92.2,92.2,92.2,288317
93.1,93.1,93.1,93.1,96758
91.5,91.5,91.5,91.5,204230
93.7,93.7,93.7,93.7,249419
94.6,94.6,94.6,94.6,130876
94.1,94.1,94.1,94.1,213041
94.5,94.5,94.5,94.5,134709
91.0,91.0,91.0,91.0,242877
92.9,92.9,92.9,92.9,230104
92.4,92.4,92.4,92.4,240762
90.3,90.3,90.3,90.3,815934
87.2,87.2,87.2,87.2,159758
86.8,86.8,86.8,86.8,735932
84.3,84.3,84.3,84.3,75408
83.1,83.1,83.1,83.1,471964
83.5,83.5,83.5,83.5,332564
82.2,82.2,82.2,82.2,345235
82.2,82.2,82.2,82.2,787677
78.8,78.8,78.8,78.8,1208418
76.5,76.5,76.5,76.5,1010245
75.3,75.3,75.3,75.3,618295
75.9,75.9,75.9,75.9,540569
77.4,77.4,77.4,77.4,760902
76.2,76.2,76.2,76.2,771442
73.9,73.9,73.9,73.9,594536
74.0,74.0,74.0,74.0,441589
73.1,73.1,73.1,73.1,656051
74.0,74.0,74.0,74.0,660426
73.8,73.8,73.8,73.8,820627
71.5,71.5,71.5,71.5,852442
70.0,70.0,70.0,70.0,705777
67.8,67.8,67.8,67.8,353346
66.4,66.4,66.4,66.4,459906
62.8,62.8,62.8,62.8,634572
65.3,65.3,65.3,65.3,399021
71.5,71.5,71.5,71.5,381545
78.3,78.3,78.3,78.3,36365
85.2,85.2,85.2,85.2,1492181
86.1,86.1,86.1,86.1,1164413
83.0,83.0,83.0,83.0,984868
84.4,84.4,84.4,84.4,904914
82.1,82.1,82.1,82.1,1090711
84.1,84.1,84.1,84.1,1539688
83.7,83.7,83.7,83.7,1575696
83.2,83.2,83.2,83.2,1383872
81.0,81.0,81.0,81.0,1023857
80.2,80.2,80.2,80.2,753864
80.5,80.5,80.5,80.5,852077
80.3,80.3,80.3,80.3,568771
79.9,79.9,79.9,79.9,647523
80.0,80.0,80.0,80.0,820814
81.0,81.0,81.0,81.0,918133
84.1,84.1,84.1,84.1,1498890
82.9,82.9,82.9,82.9,1176262
82.8,82.8,82.8,82.8,849619
81.9,81.9,81.9,81.9,1068323
81.7,81.7,81.7,81.7,1139893
84.6,84.6,84.6,84.6,1241646
86.6,86.6,86.6,86.6,1171096
86.7,86.7,86.7,86.7,1503395
87.8,87.8,87.8,87.8,1351898
90.2,90.2,90.2,90.2,1597274
92.7,92.7,92.7,92.7,1093258
92.1,92.1,92.1,92.1,1384106
89.4,89.4,89.4,89.4,1259133
86.7,86.7,86.7,86.7,1441791
88.3,88.3,88.3,88.3,1297496
92.2,92.2,92.2,92.2,1704266
94.2,94.2,94.2,94.2,1308063
95.1,95.1,95.1,95.1,2681652
92.9,92.9,92.9,92.9,1827233
91.5,91.5,91.5,91.5,1670665
93.2,93.2,93.2,93.2,1037205
93.3,93.3,93.3,93.3,1083726
93.2,93.2,93.2,93.2,616125
94.7,94.7,94.7,94.7,987654
95.1,95.1,95.1,95.1,748662
93.2,93.2,93.2,93.2,1097768
95.4,95.4,95.4,95.4,1101177
100.2,100.2,100.2,100.2,956462
104.8,104.8,104.8,104.8,1749591
105.8,105.8,105.8,105.8,1397195
105.9,105.9,105.9,105.9,1267081
105.6,105.6,105.6,105.6,1620471
104.5,104.5,104.5,104.5,1103052
103.0,103.0,103.0,103.0,1406144
102.9,102.9,102.9,102.9,999046
102.5,102.5,102.5,102.5,521145
103.4,103.4,103.4,103.4,971042
104.6,104.6,104.6,104.6,849019
106.1,106.1,106.1,106.1,881346
106.9,106.9,106.9,106.9,701730
106.7,106.7,106.7,106.7,1145091
107.3,107.3,107.3,107.3,992385
106.9,106.9,106.9,106.9,562865
